zcr_mean,spectral_centroid_mean,spectral_rolloff_mean,spectral_bandwidth_mean,rms_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_mean,spectral_contrast_mean,tonnetz_mean,onset_strength_mean,harmonic_rms,percussive_rms,mean_pitch,tempo,chroma_cqt_mean,spectral_flatness_mean,spectral_entropy,crest_factor,attack_time,decay_time,skewness,kurtosis,audio_file,audio_label
0.017397374,1353.216907,2963.363937,2523.117285,0.57814497,-60.656998,184.67398,-7.6599474,67.43228,2.6547773,13.415221,-9.7568865,13.55689,2.7912412,-1.0624449,2.675197,-0.20608161,-0.33448946,0.4419586,13.91724814,-0.006686036,0.9851324,0.38039353,0.22603157,77.16250569,117.4538352,0.7129876,0.000305515,1.73E-07,1.72967,0.00723356,11.12818594,-0.058685643,-1.038728318,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal5.wav,normal_case
0.005752563,803.3859834,949.7813258,2328.452343,0.102856256,-365.33636,124.77065,52.89237,39.006668,23.931107,16.758385,12.40846,12.85561,11.454065,9.452865,9.884861,7.366479,3.8597395,0.725143,13.93720715,-0.011092687,0.72572416,0.07861885,0.029021405,68.70598695,123.046875,0.6498804,0.000114742,2.17E-05,9.722306,0,10.76920635,-0.230942277,12.74697313,/content/drive/MyDrive/almIT_Anamoly_Audios/OffState5.wav,off_state
0.012937758,1113.397068,2036.383057,2348.607294,0.33025065,-208.32475,165.61687,21.069187,54.053978,18.835579,16.359337,0.6080907,10.543171,6.488625,1.6158617,4.3321185,0.32458913,-1.0573754,0.5917334,14.34742682,0.00887922,0.9464391,0.21525973,0.12731785,67.44128391,123.046875,0.7236999,0.000387666,1.25E-05,3.0280032,0,3.34122449,-0.06846675,0.639773928,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState6.wav,on_state
0.016894433,1344.780254,2937.328609,2527.545049,0.59346926,-60.001842,184.48416,-7.0923676,68.106445,3.1639488,14.321348,-9.486306,14.197498,2.2507777,-1.1165785,2.3440802,-0.0378818,-0.20801507,0.47608554,13.95040189,-0.010045864,0.97949135,0.38853115,0.23017763,80.65213839,123.046875,0.7112241,0.000303198,3.24E-07,1.6850072,0.002517007,11.51346939,-0.050507583,-1.091368733,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal6.wav,normal_case
0.004591481,645.1249199,588.085793,2134.787267,0.10804792,-370.94534,119.108604,57.154957,42.35636,25.233261,15.373457,10.171789,12.223365,11.358016,8.767018,9.059621,7.827161,5.973992,0.7403859,13.72278096,0.001825315,0.63712686,0.0802789,0.0317633,69.48420065,129.1992188,0.63864845,5.05E-05,1.59E-05,9.255153,0.003287982,1.242176871,-0.142908076,12.45149097,/content/drive/MyDrive/almIT_Anamoly_Audios/OffState6.wav,off_state
0.011150277,1071.049518,1765.172538,2401.624665,0.261083,-247.55525,152.44101,30.332556,49.417065,21.910791,14.79196,3.1628673,10.251064,7.5127087,2.1308212,5.225159,1.4325812,-0.09084649,0.5955731,14.45971862,-0.005861742,0.8940934,0.17997685,0.093603104,76.55397157,117.4538352,0.6704872,0.00038758,1.05E-05,3.8301995,1.966530612,3.172222222,0.001131942,1.801642388,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState7.wav,on_state
0.01789892,1390.776897,3087.298573,2563.069653,0.5597782,-61.69827,182.54478,-8.577217,67.89174,3.2741058,13.4759245,-10.368349,13.398254,2.7365825,-0.9312382,2.7618928,0.1198088,0.005420055,0.4795842,13.98912259,-0.005186044,0.98744625,0.36766276,0.2181132,80.42836754,126.0480183,0.7091756,0.000325373,3.31E-07,1.7864218,0,12.78498866,-0.051451049,-0.973280718,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal7.wav,normal_case
0.005214233,636.8061158,602.8758545,2068.092501,0.12070373,-359.45587,123.61983,55.12549,42.726933,26.350304,16.947168,12.268372,14.046852,12.719039,9.069542,8.912148,7.0146155,5.161226,0.7363797,13.75709067,0.000903616,0.66237825,0.08991279,0.035232082,67.90375608,129.1992188,0.65505445,5.23E-05,1.49E-05,8.284748,0,9.278095238,-0.163023952,10.00951715,/content/drive/MyDrive/almIT_Anamoly_Audios/OffState7.wav,off_state
0.011185089,1019.138495,1648.290653,2316.666953,0.2379666,-269.5957,157.65657,31.218801,47.799126,21.48115,14.734045,3.871126,11.393623,8.084558,2.1633835,4.4395237,1.6182803,0.6880264,0.58886576,14.34141743,0.009827796,0.91263825,0.16907243,0.08123229,79.07395876,120.1853198,0.6434255,0.000576422,2.93E-05,4.2022705,0,3.12031746,-0.157252816,2.334490559,/content/drive/MyDrive/almIT_Anamoly_Audios/OnState8.wav,on_state
0.016460002,1320.011832,2876.921889,2488.344528,0.58556354,-63.11964,185.47585,-7.3300695,67.80442,3.5489066,13.255075,-9.30082,13.301879,3.227476,-0.988367,2.9208763,-0.25751916,0.3756345,0.45201495,13.90048746,-0.004565889,0.97797966,0.38882837,0.22477388,81.09472283,126.0480183,0.6965831,0.000278406,2.34E-07,1.7077566,0.00106576,11.0453288,-0.05294564,-1.079826435,/content/drive/MyDrive/almIT_Anamoly_Audios/Normal8.wav,normal_case
